Locality,Postal code,Type,Build,Price,Number_rooms,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Ter_Area,Garden,Area_garden,Livable_surface_area,Surface_area_land,Numb_facades,Swimming_pool,State
EINE,9700,Appartement,1,280000€,3,0,0,0,1,6,0,,140,,3,0,Bon
Marcinelle,6001,Appartement,1,320000€,3,1,0,0,1,30,0,,120,,4,0,Excellent état
Knokke,8300,Appartement,1,435000€,2,1,0,0,0,,0,,85,,2,0,Bon
Bousval,1470,Villa,1,439000€,3,1,0,0,0,,1,300,185,400,3,0,Fraîchement rénové
Forest,1190,Appartement,1,198000€,1,0,0,0,1,15,0,,76,,2,0,Bon
Alost,9300,Zuidkaai,0,De 199500€ À 525000€,,0,0,0,0,,0,,,,,0,
Roulers,8800,Appartement,1,235000€,3,0,0,0,0,,0,,141,,,0,Excellent état
Liège,4000,Appartement,1,289000€,3,1,0,0,0,,0,,149,,2,0,Excellent état
Courcelles,6180,Ferme,1,299900€,3,0,0,0,0,,1,300,200,1014,3,0,Excellent état
Ans,4432,Appartement,1,198000€,3,1,0,0,0,,0,,104,,2,0,Excellent état
Westende,8434,Appartement,1,220000€,2,0,0,0,0,,0,,77,,2,0,Bon
Ans,4430,Appartement,1,230000€,3,1,0,0,0,,0,,111,,3,0,Excellent état
Ans,4432,Penthouse,1,325000€,3,0,0,0,1,24,0,,150,,3,0,Excellent état
Saint-Nicolas,4420,Penthouse,1,197000€,2,0,0,0,1,9,0,,80,,3,0,Excellent état
Merksem,2170,Penthouse,1,249000€,2,0,0,1,1,31,0,,125,,2,0,Fraîchement rénové
Dour,7370,ESPACE C - les CÃbleries,0,De 176500€ À 299000€,,0,0,0,0,,0,,,,,0,
Genappe,1470,Projet neuf - Appartements,0,De 195000€ À 345000€,,0,0,0,0,,0,,,,,0,
Thiméon,6230,Maison,1,269900€,3,0,0,0,0,,1,264,268,334,3,0,Excellent état
Housse,4671,Villa,1,310000€,4,0,0,0,1,40,0,,291,950,4,0,Fraîchement rénové
Auderghem,1160,Appartement,1,335500€,1,1,0,0,1,13,0,,70,,,0,Excellent état
Jambes,5100,Appartement,1,365000€,3,1,0,0,0,,0,,162,,,0,Excellent état
Bruxelles,1000,Appartement,1,369000€,2,1,0,0,0,,0,,120,,3,0,Excellent état
Liège,4000,Maison,1,415000€,3,1,0,0,1,40,1,350,180,550,3,0,Excellent état
Relegem,1731,Maison,1,449000€,3,1,0,0,1,21,1,235,151,386,4,0,Excellent état
Auderghem,1160,Appartement,1,501500€,2,1,0,0,1,25,0,,102,,,0,Excellent état
Woluwe-Saint-Lambert,1200,Penthouse,1,754500€,2,1,0,0,1,74,0,,159,,,0,Excellent état
Bruxelles,1000,Appartement,1,975000€,2,1,0,0,1,70,0,,180,,2,0,Excellent état
Woluwe-Saint-Pierre,1150,Maison,1,990000€,6,1,0,0,1,16,0,,485,251,2,0,Excellent état
Ixelles,1050,Appartement,1,1537000€,2,1,0,0,1,91,0,,160,,2,0,Excellent état
Zwevegem,8550,Maison,1,276000€,3,0,0,0,0,,0,,165,198,2,0,Bon
Huy,4500,Maison,1,159000€,4,1,0,0,1,17,1,75,119,166,2,0,À rafraîchir
Hensies,7350,Maison,1,650000€,3,0,0,0,0,,0,,300,3900,4,1,Excellent état
Zaventem,1933,Appartement,1,328000€,2,1,0,0,1,6,0,,93,,2,0,Excellent état
Amay,4540,Duplex,1,345000€,4,0,0,0,1,8,0,,218,,3,0,Excellent état
INGOOIGEM,8570,Villa,1,448000€,2,0,0,0,1,56,1,250,200,517,4,0,Excellent état
Ixelles,1050,Appartement,1,495000€,3,1,0,0,0,,0,,120,,2,0,Bon
