Locality,Postal code,Type,Build,Price,Number_rooms,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Ter_Area,Garden,Area_garden,Livable_surface_area,Surface_area_land,Numb_facades,Swimming_pool,State
Desselgem,8792,Maison,1,335000€,3,0,0,0,0,,0,,225,557,4,0,Excellent état
WOLUWE-SAINT-LAMBERT,1200,Appartement,1,450000€,3,1,0,0,1,38,0,,160,,4,0,Bon
SINT-GENESIUS-RODE,1640,Maison,1,369000€,3,0,0,0,0,,0,,136,650,3,0,À rénover
Soignies,7060,Appartement,1,165000€,1,0,0,0,1,23,1,58,67,,,0,Excellent état
Jette,1090,Appartement,1,224000€,2,0,0,0,0,,0,,95,,2,0,Bon
Uccle,1180,Appartement,1,345000€,2,1,0,0,1,18,0,,82,,2,0,Excellent état
Ixelles,1050,Appartement,1,1575000€,2,1,0,0,0,,0,,260,,2,0,Excellent état
Neufchateau,6840,Appartement,1,69000€,1,1,0,0,1,40,0,,68,,,0,Bon
Liège,4000,Studio,1,75000€,,1,0,0,0,,0,,30,,2,0,À rafraîchir
Liège,4000,Studio,1,75000€,,1,0,0,0,,0,,36,,2,0,À rafraîchir
Libramont,6800,Appartement,1,75000€,2,1,0,0,0,,0,,71,,3,0,À rénover
Westende,8434,Studio,1,75000€,,1,1,0,0,,0,,25,,2,0,
Koksijde,8670,Studio,1,79500€,1,0,0,0,0,,0,,42,,,0,Bon
Westende,8434,Appartement,1,95000€,,0,1,0,0,,0,,42,,2,0,Bon
Westende,8434,Appartement,1,95000€,,0,1,0,0,,0,,42,,2,0,Bon
Neufchateau,6840,Appartement,1,99000€,2,1,0,0,1,4,0,,105,,,0,Bon
Neufchateau,6840,Appartement,1,99000€,2,1,0,0,1,4,0,,108,,,0,Bon
Mons,7000,Appartement,1,110000€,1,0,0,0,0,,1,80,72,,3,0,Fraîchement rénové
Neufchateau,6840,Appartement,1,119000€,3,1,0,0,1,144,0,,142,,,0,Bon
Libin,6890,Appartement,1,119000€,2,0,0,0,1,20,1,111,73,,,0,Bon
Mons,7000,Appartement,1,120000€,1,0,0,0,1,50,0,,70,,3,0,Fraîchement rénové
La,8660,Studio,1,120000€,,0,1,0,0,,0,,39,,2,0,Bon
Westende,8434,Studio,1,124000€,2,0,1,0,0,,0,,45,,2,0,À rafraîchir
Westende,8434,Studio,1,124000€,2,0,1,0,0,,0,,45,,2,0,À rafraîchir
Koksijde,8670,Studio,1,129000€,,0,0,0,0,,0,,35,,2,0,À rafraîchir
Herstal,4040,Appartement,1,130000€,2,0,0,0,1,6,0,,85,,2,0,Bon
Louvain,3000,Studio,1,135000€,1,0,1,0,0,,0,,37,,2,0,Bon
Etterbeek,1040,Studio,1,140000€,,1,0,0,0,,0,,40,,,0,Bon
Evere,1140,Studio,1,140000€,,1,0,0,1,6,0,,35,,,0,Bon
Bruxelles,1000,Appartement,1,147500€,1,0,1,0,0,,0,,32,,3,0,
Anderlecht,1070,Studio,1,147500€,1,1,0,0,0,,0,,30,,4,0,
Kuurne,8520,Appartement,1,148000€,2,0,0,0,0,,0,,65,,2,0,Bon
Ganshoren,1083,Studio,1,149000€,1,1,0,0,0,,0,,56,,,0,À rénover
Mons,7000,Appartement,1,149000€,1,1,0,0,1,18,0,,65,,3,0,Excellent état
La,8660,Appartement,1,150000€,1,0,1,0,1,10,0,,48,,2,1,Bon
Braine-le-Comte,7090,Appartement,1,151000€,1,1,0,0,1,3,0,,67,,3,0,Excellent état
Anderlecht,1070,Studio,1,154000€,,1,0,0,0,,0,,51,,2,0,Bon
Braine-le-Comte,7090,Appartement,1,154000€,1,1,0,0,1,3,0,,63,,3,0,Excellent état
Koksijde,8670,Studio,1,155000€,,0,0,0,0,,0,,51,,2,0,Bon
Alost,9300,Appartement,1,155000€,2,1,0,0,0,,0,,106,,2,0,
Oostduinkerke,8670,Appartement,1,160000€,1,0,1,0,0,,1,7,50,,2,0,Bon
Braine-le-Comte,7090,Appartement,1,161000€,1,1,0,0,1,3,0,,72,,3,0,Excellent état
Libramont-Chevigny,6800,Duplex,1,162000€,2,0,0,0,0,,0,,93,,,0,Excellent état
Libramont-Chevigny,6800,Duplex,1,167000€,2,0,0,0,0,,0,,102,,,0,Excellent état
Koksijde,8670,Appartement,1,168000€,2,0,0,0,0,,0,,69,,,0,Fraîchement rénové
Evere,1140,Appartement,1,169000€,1,0,1,0,0,,0,,43,,,0,Bon
Jemeppe-sur-Sambre,5190,Duplex,1,169000€,4,0,0,0,0,,0,,128,,4,0,Excellent état
Izegem,8870,Appartement,1,169000€,2,0,0,0,0,,0,,92,,2,0,
Alost,9300,Appartement,1,169000€,2,1,0,1,1,16,0,,115,,2,0,
Hoboken,2660,Appartement,1,175000€,2,0,0,0,1,8,0,,94,,2,0,À rafraîchir
Marcinelle,6001,Appartement,1,175000€,2,0,0,0,0,,0,,70,,4,0,À rafraîchir
Harelbeke,8530,Appartement,1,175000€,1,1,0,0,0,,0,,55,,,0,
Evere,1140,Appartement,1,179000€,1,1,1,0,1,5,0,,40,,2,0,Excellent état
Huy,4500,Appartement,1,179000€,3,0,0,0,1,10,0,,100,,2,0,Bon
Tamise,9140,Appartement,1,179000€,2,0,0,0,0,,0,,91,,2,0,Bon
Wanze,4520,Appartement,1,179500€,2,0,0,0,1,3,0,,80,,,0,
Gouy-lez-Piéton,6181,Appartement,1,179900€,2,0,0,0,1,25,0,,90,,3,0,Fraîchement rénové
Arlon,6700,Appartement,1,180000€,2,0,0,0,0,,0,,80,,3,0,Bon
Harelbeke,8530,Appartement,1,180000€,1,1,0,0,0,,0,,63,,,0,
Wavre,1300,Appartement,1,183200€,1,1,0,0,1,6,0,,65,,,0,Excellent état
Hasselt,3500,Appartement,1,185000€,2,0,0,0,0,,0,,80,,2,0,Fraîchement rénové
Paliseul,6850,Duplex,1,185000€,3,0,0,0,1,24,0,,113,,3,0,
Ostende,8400,Appartement,1,185000€,1,0,0,0,0,,0,,75,,2,0,Excellent état
Courtrai,8500,Appartement,1,185000€,2,0,0,0,0,,0,,117,,2,0,Bon
Braine-le-Comte,7090,Appartement,1,198000€,2,1,0,0,1,27,0,,86,,3,0,Excellent état
Louvain,3000,Studio,1,199000€,1,0,0,0,0,,0,,24,,2,0,Fraîchement rénové
Schaerbeek,1030,Appartement,1,205000€,2,0,0,0,1,2,0,,86,,2,0,À rénover
Izegem,8870,Appartement,1,208500€,2,0,0,0,0,,0,,88,,2,0,
Hoboken,2660,Rez-de-chaussée,1,210000€,2,0,0,0,0,,1,40,89,,2,0,Bon
Turnhout,2300,Appartement,1,215000€,2,0,0,0,0,,0,,100,,,0,
Nieuport,8620,Appartement,1,215000€,2,0,1,0,0,,0,,45,,,0,Excellent état
Middelkerke,8430,Appartement,1,219000€,2,0,1,0,0,,0,,72,,,0,Fraîchement rénové
Evere,1140,Studio,1,220000€,,1,1,0,0,,0,,40,,2,0,Excellent état
Nassogne,6950,Appartement,1,220790€,3,0,0,0,1,12,0,,109,,3,0,
Aywaille,4920,Appartement,1,225000€,2,0,0,0,1,8,0,,85,,2,0,Excellent état
NeufchÃteau,6840,Appartement,1,225000€,2,1,0,0,0,,1,150,80,,2,0,Excellent état
La,8660,Appartement,1,225000€,2,0,1,0,0,,0,,71,,,0,Bon
Turnhout,2300,Duplex,1,229000€,2,0,0,0,0,,0,,105,,2,0,Bon
Aubange,6790,Appartement,1,229000€,2,0,0,0,0,,0,,91,,3,0,Excellent état
Nassogne,6950,Appartement,1,230957€,3,0,0,0,1,12,0,,109,,3,0,
Vilvorde,1800,Appartement,1,234000€,2,0,0,0,0,,0,,110,,2,0,Bon
Renaix,9600,Appartement,1,235000€,2,0,0,0,1,8,0,,128,,2,0,Bon
ROKSEM,8460,Appartement,1,235500€,2,0,0,0,1,13,0,,94,,3,0,Bon
Evere,1140,Appartement,1,239000€,2,0,0,0,1,3,0,,75,,2,0,Bon
Louvain,3001,Appartement,1,239000€,1,0,0,0,0,,0,,50,,,0,Bon
Schaerbeek,1030,Rez-de-chaussée,1,240000€,2,1,0,0,1,25,0,,96,,,0,Bon
Anvers,2000,Appartement,1,245000€,1,0,0,0,1,16,0,,55,,,0,Bon
Koksijde,8670,Appartement,1,249000€,3,0,1,0,0,,0,,81,,2,1,Bon
Alost,9300,Appartement,1,249000€,2,0,1,0,1,45,0,,92,,,0,
Schaerbeek,1030,Appartement,1,252200€,2,1,0,0,1,8,0,,97,,,0,
Vosselaar,2350,Appartement,1,255000€,1,0,0,0,0,,0,,80,,,0,
Zaventem,1930,Appartement de service,1,258000€,1,0,0,0,1,8,0,,57,,2,0,
Lubbeek,3210,Duplex,1,267500€,3,0,0,0,0,,0,,110,,3,0,
Izegem,8870,Appartement,1,268000€,4,0,0,0,0,,0,,124,,2,0,
Saint-Gilles,1060,Appartement,1,275000€,2,1,0,0,1,2,0,,90,,2,0,À rénover
RAMSDONK,1880,Duplex,1,275000€,2,0,0,0,1,9,0,,105,,3,0,
Kessel-Lo,3010,Appartement,1,275000€,2,0,0,0,1,2,0,,70,,2,0,
Kessel-Lo,3010,Appartement,1,275000€,2,0,0,0,1,2,0,,70,,2,0,
Brakel,9660,Appartement,1,277000€,2,0,0,0,1,6,0,,90,,2,0,
Berchem-Ste-Agathe,1082,Appartement,1,279000€,2,1,0,0,1,7,0,,100,,3,0,Excellent état
Ixelles,1050,Studio,1,280000€,,1,0,0,0,,0,,55,,2,0,Excellent état
Braine-le-Comte,7090,Appartement,1,281000€,3,1,0,0,1,28,0,,132,,3,0,Excellent état
La,8660,Appartement,1,285000€,2,0,0,0,1,12,0,,96,,2,0,Excellent état
BONCELLES,4100,Appartement,1,287000€,3,1,0,0,1,15,0,,115,,4,0,
Bruxelles,1000,Rez-de-chaussée,1,290000€,2,0,0,0,1,18,0,,100,,4,0,Excellent état
Ixelles,1050,Appartement,1,290000€,2,1,0,0,0,,0,,80,,2,0,À rénover
Laarne,9270,Appartement,1,294000€,2,0,0,0,0,,0,,105,,,0,
Woluwe-Saint-Pierre,1150,Appartement,1,295000€,2,1,0,0,1,16,0,,79,,2,0,Excellent état
Woluwe-Saint-Lambert,1200,Appartement,1,295000€,2,1,0,0,0,,0,,91,,,0,Bon
Overijse,3090,Appartement,1,295000€,1,1,0,0,0,,1,30,60,,2,0,Excellent état
Nieuport,8620,Appartement,1,297500€,1,0,0,0,0,,0,,65,,,0,
BONCELLES,4100,Appartement,1,299000€,3,1,0,0,1,17,0,,115,,4,0,
Namur,5000,Appartement,1,299000€,2,0,0,0,1,9,0,,91,,2,0,Excellent état
Grammont,9500,Appartement,1,299000€,3,0,0,0,1,50,0,,118,,3,0,Excellent état
Gand,9000,Appartement,1,305000€,2,0,0,0,1,8,0,,97,,,0,Bon
La,8660,Appartement,1,310000€,2,0,0,0,1,22,0,,99,,2,0,Excellent état
Bruxelles,1000,Appartement,1,316000€,2,1,0,0,1,11,0,,106,,,0,Excellent état
Bruxelles,1000,Appartement,1,320000€,2,0,0,0,1,5,0,,92,,,0,Bon
Saint-Gilles,1060,Appartement,1,329000€,1,1,0,0,0,,0,,109,,2,0,Bon
Rixensart,1332,Appartement,1,330000€,2,1,0,0,1,11,0,,146,,,0,Excellent état
Profondeville,5170,Rez-de-chaussée,1,330000€,3,0,0,0,0,,0,,130,,2,0,Bon
SINT-GILLIS,1060,Appartement,1,335000€,2,1,0,0,1,5,0,,102,,,0,Fraîchement rénové
Saint-Gilles,1060,Appartement,1,339000€,1,1,0,0,0,,0,,109,,2,0,Bon
Knokke,8300,Studio,1,339000€,,0,0,0,0,,0,,33,,2,0,Excellent état
Ixelles,1050,Duplex,1,345000€,1,1,0,0,1,8,0,,83,,,0,Excellent état
Saint-Gilles,1060,Duplex,1,345000€,1,1,0,0,1,8,0,,83,,,0,Excellent état
Woluwe-Saint-Pierre,1150,Appartement,1,345000€,3,1,0,0,1,6,0,,125,,,0,À rafraîchir
Woluwe-St-Lambert,1200,Appartement,1,345000€,1,0,0,1,1,7,0,,75,,3,0,Bon
Nieuport,8620,Appartement,1,345000€,2,0,1,0,1,3,0,,65,,3,0,Bon
Bruxelles,1000,Appartement,1,349000€,2,1,0,0,1,2,0,,75,,2,0,Bon
Louvain,3000,Appartement,1,375000€,2,0,0,0,1,7,0,,88,,2,0,Fraîchement rénové
Gand,9000,Appartement,1,379000€,2,0,0,0,1,8,0,,109,,,0,Bon
Gentbrugge,9050,Loft,1,385000€,2,1,0,0,0,,0,,168,,4,0,Excellent état
Saint-Gilles,1060,Appartement,1,390000€,4,1,0,0,1,20,0,,198,,2,0,À rénover
Louvain,3000,Appartement,1,395000€,3,0,0,0,1,22,0,,106,,2,0,
Ostende,8400,Appartement,1,395000€,3,0,0,0,1,5,0,,80,,2,0,Excellent état
Molenbeek-Saint-Jean,1080,Loft,1,400000€,4,1,0,0,1,25,0,,192,,2,0,Excellent état
Uccle,1180,Appartement,1,425000€,3,1,0,1,1,19,0,,140,,,0,Excellent état
Knokke-Heist,8300,Appartement,1,430000€,1,1,0,0,0,,0,,66,,2,0,Excellent état
Ixelles,1050,Rez-de-chaussée,1,445000€,1,1,0,0,1,10,1,32,85,,2,0,Excellent état
Sint-Idesbald,8670,Appartement,1,450000€,2,1,0,0,0,,0,,136,,3,0,Excellent état
Izegem,8870,Appartement,1,465000€,3,0,0,0,1,150,0,,419,,2,0,
Woluwe-Saint-Pierre,1150,Appartement,1,469500€,2,1,0,0,1,6,0,,100,,,0,
Bruxelles,1000,Appartement,1,470000€,2,1,0,0,1,6,0,,100,,2,0,Excellent état
Alost,9300,Penthouse,1,485000€,3,0,0,0,1,23,0,,80,,2,0,
Alost,9300,Appartement,1,485000€,3,0,0,0,1,23,0,,80,,2,0,
Molenbeek-Saint-Jean,1080,Loft,1,490000€,3,1,0,0,1,26,0,,221,,2,0,Excellent état
Grez-Doiceau,1390,Maison,1,495000€,5,1,0,0,1,65,1,490,249,800,3,0,Excellent état
Knokke-Heist,8300,Penthouse,1,495000€,2,1,1,1,1,20,0,,82,,2,0,Excellent état
Knokke,8300,Appartement,1,495000€,2,0,0,0,1,3,0,,74,,2,0,Excellent état
Zele,9240,Penthouse,1,497500€,4,0,0,0,1,62,0,,249,,2,0,
Ostende,8400,Appartement,1,499500€,2,0,0,0,1,36,0,,140,,2,0,Excellent état
Auderghem,1160,Appartement,1,501500€,2,1,0,0,1,25,0,,102,,,0,Excellent état
La,8660,Appartement,1,515000€,3,0,0,0,1,71,0,,141,,2,0,Excellent état
Knokke-Heist,8300,Appartement,1,520000€,3,0,0,0,0,,0,,118,,,0,À rénover
Audenarde,9700,Appartement,1,520000€,3,0,0,0,1,6,0,,141,,3,0,Excellent état
Audenarde,9700,Appartement,1,520000€,3,0,0,0,1,6,0,,141,,3,0,Excellent état
Knokke-Heist,8300,Appartement,1,525000€,3,1,0,0,0,,0,,107,,,0,Excellent état
Knokke-Heist,8301,Appartement,1,525000€,3,1,0,0,0,,0,,107,,,0,Excellent état
Uccle,1180,Appartement,1,540000€,3,0,0,0,0,,0,,200,,2,0,Bon
Uccle,1180,Rez-de-chaussée,1,550000€,3,1,0,0,1,37,1,344,137,,2,0,Excellent état
Anvers,2000,Appartement,1,550000€,1,0,0,0,1,20,0,,110,,2,0,Excellent état
Knokke-Heist,8300,Appartement,1,575000€,4,0,0,0,0,,0,,166,,,0,Excellent état
Knokke,8300,Appartement,1,578000€,1,0,0,0,0,,0,,64,,2,0,Bon
Knokke-Heist,8300,Appartement,1,595000€,2,1,0,0,0,,0,,84,,2,0,Bon
Oostduinkerke,8670,Appartement,1,595000€,2,0,1,0,0,,0,,,,,0,Excellent état
Ostende,8400,Appartement,1,620000€,2,1,0,0,0,,0,,125,,3,0,Excellent état
Bruxelles,1000,Appartement,1,640000€,3,1,0,0,1,4,0,,195,,2,0,Excellent état
Knokke,8300,Appartement,1,648500€,3,0,0,0,0,,0,,105,,2,0,Bon
Oostduinkerke,8670,Appartement,1,695000€,3,0,1,0,0,,0,,120,,,0,Excellent état
Knokke,8300,Appartement,1,750000€,3,0,0,0,0,,0,,105,,2,0,Bon
Knokke-Heist,8300,Appartement,1,750000€,2,1,0,0,0,,0,,90,,2,0,Bon
Knokke-Heist,8300,Appartement,1,750000€,3,0,0,0,0,,0,,99,,,0,Excellent état
Courtrai,8500,Loft,1,750000€,3,0,0,0,0,,0,,242,,2,0,Excellent état
Courtrai,8500,Loft,1,750000€,3,0,0,0,0,,0,,242,,2,0,Excellent état
Forest,1190,Appartement,1,860000€,3,1,0,0,1,21,0,,165,,2,0,Excellent état
Bruxelles,1000,Appartement,1,890000€,2,1,0,0,1,130,0,,110,,2,0,Excellent état
Knokke-Heist,8300,Appartement,1,950000€,3,1,0,0,0,,0,,93,,2,0,Excellent état
Uccle,1180,Penthouse,1,965000€,4,1,0,0,1,20,0,,310,,4,0,Excellent état
Knokke-Heist,8300,Appartement,1,1049000€,2,1,0,0,0,,0,,90,,2,0,Excellent état
Uccle,1180,Appartement,1,1050000€,4,1,0,0,1,10,0,,263,,2,0,Excellent état
Bruxelles,1000,Appartement,1,1090000€,4,1,0,1,1,11,0,,260,,2,0,Excellent état
Knokke-Heist,8300,Appartement,1,1095000€,3,0,0,0,0,,0,,90,,,0,
Woluwe-St-Pierre,1150,Appartement,1,1170000€,4,1,0,0,1,71,1,170,308,,2,0,Excellent état
Uccle,1180,Appartement,1,1195000€,2,1,0,1,1,35,0,,200,,2,0,Bon
Knokke,8300,Duplex,1,1265000€,3,0,0,0,0,,0,,158,,2,0,Excellent état
Knokke-Heist,8300,Appartement,1,1350000€,3,0,0,0,0,,0,,117,,,0,Fraîchement rénové
Knokke-Heist,8300,Appartement,1,1695000€,3,1,1,0,0,,0,,127,,2,0,Excellent état
Knokke-Heist,8300,Appartement,1,1980000€,3,1,0,0,0,,0,,191,,3,0,Excellent état
Knokke,8300,Appartement,1,2170000€,4,0,0,0,0,,0,,192,,,0,Excellent état
Knokke-Heist,8300,Appartement,1,2350000€,3,1,0,0,0,,0,,120,,2,0,Excellent état
Knokke-Zoute,8300,Appartement,1,2975000€,4,0,0,0,0,,0,,190,,3,0,Excellent état
Knokke,8300,Appartement,1,4125000€,2,0,0,0,0,,0,,125,,,0,Bon
Bruges,8200,Maison,1,289000€,4,0,0,0,1,4,1,50,157,163,2,0,Bon
Ans,4430,Appartement,1,110000€,1,0,0,0,0,,0,,72,,2,0,Bon
Koksijde,8670,Appartement,1,169000€,2,0,1,0,0,,0,,60,,2,0,À rénover
Wondelgem,9032,Appartement,1,179500€,2,0,0,0,1,4,0,,70,,2,0,À rénover
Blankenberge,8370,Appartement,1,180000€,2,0,0,0,0,,0,,82,,,0,Bon
Knokke-Heist,8300,Appartement,1,1149000€,4,0,0,0,0,,0,,120,,2,0,Excellent état
Kapelle-op-den-Bos,1880,Maison,1,375000€,2,0,0,0,0,,1,240,110,678,,0,À rénover
Westende,8434,Appartement,1,405000€,2,0,1,0,0,,0,,82,,2,0,Bon
Liège,4000,Triplex,1,595000€,3,0,0,0,0,,0,,202,,,0,Excellent état
Blankenberge,8370,Appartement,1,195000€,2,0,0,0,0,,0,,,,,0,Bon
Sint-Idesbald,8670,Rez-de-chaussée,1,215000€,2,1,0,0,0,,0,,64,,,0,Excellent état
Moerbeke-Waas,9180,Maison,1,210000€,3,0,0,0,0,,0,,150,650,,0,À rafraîchir
Merelbeke,9820,Maison,1,529000€,4,0,0,0,0,,0,,220,1033,4,0,
Knokke-Heist,8300,Maison,1,1375000€,3,1,0,0,0,,1,180,175,280,3,0,Excellent état
LIEGE,4000,Appartement,1,115000€,1,0,0,0,1,5,0,,64,,2,0,Bon
Uccle,1180,Studio,1,155000€,,1,0,0,1,48,0,,27,,,0,À rafraîchir
Mons,7000,Appartement,1,155000€,2,0,0,0,1,8,0,,83,,3,0,
Dilbeek,1702,Appartement,1,219750€,1,1,0,0,1,11,0,,62,,,0,Excellent état
MARIEKERKE,2880,Duplex,1,239000€,2,1,0,0,1,7,0,,129,,4,0,
Erembodegem,9320,Appartement,1,259200€,2,0,0,0,1,12,0,,82,,4,0,
Anderlecht,1070,Appartement,1,269000€,3,1,0,0,1,8,0,,95,,2,0,Excellent état
Neupré,4120,Appartement,1,295000€,2,1,0,0,1,27,0,,103,,,0,Excellent état
Neupré,4122,Appartement,1,295000€,2,1,0,0,1,27,0,,103,,,0,Excellent état
Bornem,2880,Appartement,1,298000€,2,1,0,0,1,7,0,,100,,2,0,
Namur,5000,Appartement,1,324000€,2,1,0,0,1,11,0,,105,,,0,Excellent état
Namur,5000,Penthouse,1,374000€,3,1,0,0,1,35,0,,115,,,0,Excellent état
Woluwe-Saint-Lambert,1200,Appartement,1,394000€,3,1,0,0,1,13,0,,107,,,0,Excellent état
Forest,1190,Appartement,1,459000€,4,1,0,0,1,24,0,,187,,3,0,
Forest,1190,Duplex,1,459000€,4,1,0,0,1,24,0,,187,,3,0,
Saint-Gilles,1060,Appartement,1,510000€,3,1,0,0,1,8,0,,116,,,0,Excellent état
Sterrebeek,1933,Rez-de-chaussée,1,620000€,2,1,0,0,1,18,0,,140,,2,0,Excellent état
Auderghem,1160,Rez-de-chaussée,1,936000€,3,1,0,0,1,96,1,278,146,,,0,Excellent état
Sterrebeek,1933,Rez-de-chaussée,1,995000€,3,1,0,0,1,18,1,151,189,,2,0,Excellent état
Sterrebeek,1933,Rez-de-chaussée,1,1095000€,3,1,0,0,1,22,1,137,169,,2,0,Excellent état
Sterrebeek,1933,Rez-de-chaussée,1,1295000€,4,1,0,0,1,21,1,205,195,,2,0,Excellent état
Ixelles,1050,Appartement,1,1537000€,2,1,0,0,1,91,0,,160,,,0,Excellent état
Ixelles,1050,Appartement,1,1839000€,3,1,0,0,1,76,0,,203,,,0,Excellent état
Ixelles,1050,Penthouse,1,1900000€,3,1,0,0,1,59,0,,285,,,0,Excellent état
Ixelles,1050,Appartement,1,1950000€,3,1,0,0,1,111,0,,211,,,0,Excellent état
Ixelles,1050,Appartement,1,3297000€,3,1,0,0,1,166,0,,305,,,0,Excellent état
Ixelles,1050,Appartement,1,3324000€,3,1,0,0,1,161,0,,308,,,0,Excellent état
Chaumont-Gistoux,1325,RESIDENCE MONDOVI,1,265000€,,0,0,0,0,,0,,,,,0,
Rillaar,3202,Maison,1,265000€,3,1,0,0,0,,0,,,4061,3,0,À rafraîchir
Anvers,2060,Appartement,1,207000€,2,0,0,0,0,,0,,75,,2,0,Fraîchement rénové
Jette,1090,Penthouse,1,299000€,2,1,0,0,0,,0,,92,,3,0,
Hautrage,7334,Maison,1,20000€ + 460€ par mois,3,0,0,0,0,,0,,140,200,2,0,Bon
Châtelineau,6200,Maison,1,50000€ + 815€ par mois,2,0,0,0,0,,0,,150,511,2,0,À rénover
Dour,7370,Maison,1,75000€,2,1,0,0,0,,0,,150,180,2,0,À rafraîchir
Neufchateau,6840,Maison,1,109000€,2,1,0,0,0,,0,,270,975,4,0,À rénover
Dour,7370,Maison,1,115000€,3,1,0,0,0,,0,,114,190,2,0,Bon
La,7080,Maison,1,120000€,2,0,0,0,1,12,0,,150,140,2,0,Bon
Herstal,4040,Maison,1,124000€,2,1,0,0,1,10,1,60,125,300,2,0,À rafraîchir
Philippeville,5600,Maison,1,135000€,4,0,0,0,0,,1,200,150,200,4,0,À rafraîchir
Hornu,7301,Maison,1,135000€,2,1,0,0,0,,0,,117,110,2,0,Bon
Ayeneux,4630,Villa,1,175000€ + 665€ par mois,3,0,0,0,0,,0,,240,3749,4,0,Excellent état
BOIS-DE-VILLERS,5170,Maison,1,185000€,2,1,0,0,0,,0,,101,768,4,0,À rafraîchir
Montroeul-sur-haine,7350,Maison,1,185000€,3,0,0,0,1,35,0,,146,435,2,0,Bon
Engis,4480,Maison,1,189000€,3,0,0,0,1,102,1,80,110,385,3,0,Excellent état
Haine-St-Paul,7100,Maison,1,190000€,3,1,0,1,1,20,1,95,175,115,2,0,Bon
Forchies-la-Marche,6141,Maison,1,195000€,3,0,0,0,0,,0,,185,170,3,0,Excellent état
Liège,4020,Maison,1,199900€,5,0,1,0,1,30,1,63,153,148,2,0,Bon
Liege,4030,Maison,1,199900€,5,0,1,0,1,30,1,63,153,148,2,0,Bon
Maldegem,9990,Maison,1,225000€,2,0,0,0,0,,0,,161,360,2,0,À rénover
Grace-Hollogne,4460,Maison bel-étage,1,249000€,3,0,0,0,1,33,1,141,138,242,2,0,
Hoboken,2660,Maison,1,249950€,3,1,0,0,0,,1,20,110,92,2,0,Fraîchement rénové
Waha,6900,Maison,1,259000€,5,1,0,0,1,40,1,879,166,879,4,0,Bon
Masbourg,6953,Maison,1,259000€,5,0,0,0,0,,1,610,264,610,3,0,Bon
Hoboken,2660,Maison,1,265000€,2,1,0,0,0,,1,170,146,264,,0,Excellent état
Harmoncourt,6767,Maison,1,265000€,3,0,0,1,0,,1,1700,175,1852,4,0,Bon
Wilrijk,2610,Maison,1,274950€,5,1,0,0,1,15,0,,220,91,,0,Bon
Vottem,4041,Maison bel-étage,1,275000€,3,1,0,0,1,22,1,140,175,280,2,0,Fraîchement rénové
Verlaine,4537,Autres biens,1,275000€,2,0,0,0,1,34,0,,172,1172,3,0,Bon
MILMORT,4041,Maison,1,299000€,4,0,0,0,0,,1,119,218,226,2,0,Fraîchement rénové
Philippeville,5600,Fermette,1,300000€,5,1,0,0,1,32,1,796,226,1003,3,0,Bon
Florennes,5620,Fermette,1,300000€,5,1,0,0,1,32,1,796,226,1003,3,0,Bon
Brakel,9660,Maison,1,315000€,3,1,0,0,0,,0,,146,426,3,0,Excellent état
Champlon,6971,Maison,1,319000€,7,1,0,0,1,30,1,1757,270,1757,4,0,Bon
Braine-l'Alleud,1420,Maison,1,325000€,5,0,0,0,0,,0,,311,658,3,0,À rafraîchir
Verviers,4800,Maison de maître,1,385000€,8,1,0,0,0,,1,780,700,997,3,0,Excellent état
Bruxelles,1020,Immeuble à appartements,1,395000€,,0,0,0,0,,0,,185,101,2,0,À rénover
Grez-Doiceau,1390,Maison,1,398000€,3,0,0,0,1,24,1,400,154,610,3,0,Excellent état
Wavre,1300,Maison bel-étage,1,415000€,3,0,0,0,1,20,1,540,225,135,2,0,
Hogne,5377,Maison,1,435000€,4,1,0,0,1,25,1,1723,220,1723,4,0,Bon
Wezemaal,3111,Maison,1,455000€,4,0,0,1,1,69,1,3350,189,3984,4,0,Bon
Rillaar,3202,Maison,1,495000€,4,0,0,0,0,,0,,348,1149,4,0,Bon
Uccle,1180,Maison,1,499000€,4,0,0,0,0,,1,3,150,200,3,0,À rafraîchir
Beauvechain,1320,Maison,1,499900€,4,1,0,0,0,,0,,200,1492,4,0,Excellent état
Schaerbeek,1030,Immeuble à appartements,1,500000€,3,1,0,0,1,13,1,20,216,,2,0,Bon
Tubize,1480,Maison,1,540000€,6,0,0,1,1,105,1,10000,298,10000,4,1,À rénover
Heverlee,3001,Maison,1,590000€,4,1,0,0,0,,1,110,277,240,2,0,Bon
WOLUWÉ-SAINT-LAMBERT,1200,Maison,1,595000€,3,0,0,1,0,,1,40,145,100,,0,Fraîchement rénové
Waregem,8790,Villa,1,599500€,3,0,0,0,0,,0,,220,688,4,0,Bon
Waregem,8790,Villa,1,599500€,3,0,0,0,0,,0,,220,688,4,0,Bon
Evere,1140,Immeuble à appartements,1,625000€,4,0,0,0,0,,0,,200,93,2,0,
Malines,2800,Maison,1,749000€,3,0,0,0,1,21,0,,186,,2,0,Excellent état
Berchem-Ste-Agathe,1082,Maison,1,780000€,5,1,0,1,1,50,1,381,345,631,3,1,Fraîchement rénové
Westkapelle,8300,Villa,1,798000€,4,1,0,0,1,30,0,,224,675,,0,Excellent état
Esneux,4130,Bien exceptionnel,1,880000€,4,0,0,0,0,,1,420,1000,1200,4,1,Bon
